#=====================================================
# File created:        Wed-05-Nov-2025-at-03-27-53AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.200
# Run time (s):        1.435355
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -357.1798  0.2777 
   00001    0.4925    -395.0029  0.3112 
   00002    0.4750    -413.2282  0.3139 
   00003    0.4650    -438.1090  0.3230 
   00004    0.4575    -453.8863  0.3299 
   00005    0.4675    -472.4127  0.3339 
   00006    0.5175    -497.2648  0.3378 
   00007    0.4925    -515.2110  0.3338 
   00008    0.5075    -527.9173  0.3279 
   00009    0.4925    -537.8266  0.3318 
   00010    0.5275    -552.3433  0.3308 
   00011    0.4775    -578.3095  0.3414 
   00012    0.4725    -590.4335  0.3461 
   00013    0.5175    -612.7516  0.3392 
   00014    0.4725    -625.1344  0.3447 
   00015    0.4700    -635.5104  0.3468 
   00016    0.4975    -646.5261  0.3472 
   00017    0.5025    -661.1171  0.3488 
   00018    0.4900    -671.3710  0.3496 
   00019    0.4875    -688.6633  0.3513 
   00020    0.5300    -696.7200  0.3503 
   00021    0.5075    -710.2972  0.3536 
   00022    0.4725    -723.3419  0.3503 
   00023    0.4800    -729.0778  0.3526 
   00024    0.4275    -738.0290  0.3524 
   00025    0.5050    -755.2479  0.3593 
   00026    0.5375    -766.2266  0.3630 
   00027    0.4850    -774.0594  0.3648 
   00028    0.5125    -789.1306  0.3709 
   00029    0.4700    -799.7542  0.3727 
   00030    0.4725    -814.2453  0.3703 
   00031    0.4900    -823.9009  0.3766 
   00032    0.4900    -838.8018  0.3828 
   00033    0.4750    -847.3970  0.3887 
   00034    0.4850    -851.5086  0.3917 
   00035    0.5250    -860.8862  0.3944 
   00036    0.4825    -867.9258  0.3931 
   00037    0.4800    -873.9248  0.3904 
   00038    0.4925    -884.9571  0.3932 
   00039    0.4775    -896.6717  0.3960 
   00040    0.5000    -912.3752  0.3981 
   00041    0.4700    -915.2037  0.3969 
   00042    0.5025    -929.3836  0.3951 
   00043    0.4925    -932.9880  0.3947 
   00044    0.5425    -941.2029  0.4027 
   00045    0.5350    -950.9091  0.4109 
   00046    0.4750    -954.3655  0.4174 
   00047    0.4650    -965.2577  0.4218 
   00048    0.5100    -966.3616  0.4181 
   00049    0.5025    -971.8013  0.4241 
   00050    0.5275    -978.1017  0.4270 
   00051    0.5125    -980.6210  0.4298 
   00052    0.4850    -990.6533  0.4346 
   00053    0.4975    -990.5405  0.4442 
   00054    0.5400   -1005.0502  0.4509 
   00055    0.5300   -1007.4920  0.4557 
   00056    0.4925   -1013.9876  0.4568 
   00057    0.4550   -1021.4583  0.4659 
   00058    0.5425   -1029.2535  0.4678 
   00059    0.4475   -1036.3491  0.4708 
   00060    0.5250   -1046.7064  0.4737 
   00061    0.4825   -1059.7206  0.4851 
   00062    0.4200   -1065.7730  0.4900 
   00063    0.4975   -1066.8332  0.4887 
   00064    0.5025   -1072.6120  0.4923 
   00065    0.5075   -1070.8464  0.4953 
   00066    0.5200   -1073.2038  0.4955 
   00067    0.4750   -1087.4853  0.5037 
   00068    0.5150   -1095.4673  0.5096 
   00069    0.5325   -1103.1385  0.5134 
   00070    0.4875   -1108.7969  0.5175 
   00071    0.4825   -1122.8542  0.5207 
   00072    0.5100   -1133.3181  0.5270 
   00073    0.4800   -1140.5505  0.5274 
   00074    0.4725   -1150.0989  0.5334 
   00075    0.4600   -1154.8887  0.5336 
   00076    0.4675   -1156.6432  0.5345 
   00077    0.5025   -1157.2821  0.5365 
   00078    0.5025   -1153.7782  0.5339 
   00079    0.4925   -1159.6116  0.5322 
   00080    0.4850   -1165.6882  0.5348 
   00081    0.4700   -1168.5877  0.5376 
   00082    0.4850   -1170.5812  0.5376 
   00083    0.5250   -1178.1083  0.5453 
   00084    0.4775   -1190.1491  0.5466 
   00085    0.4375   -1187.8440  0.5480 
   00086    0.5150   -1195.8743  0.5465 
   00087    0.4525   -1205.8652  0.5491 
   00088    0.5075   -1209.8519  0.5466 
   00089    0.4675   -1219.8590  0.5516 
   00090    0.5300   -1228.9017  0.5538 
   00091    0.4825   -1232.7909  0.5568 
   00092    0.5125   -1231.4689  0.5589 
   00093    0.5050   -1232.0500  0.5613 
   00094    0.4325   -1243.9477  0.5655 
   00095    0.4675   -1257.2417  0.5690 
   00096    0.5025   -1259.3926  0.5703 
   00097    0.5000   -1263.3158  0.5772 
   00098    0.4500   -1267.3033  0.5825 
   00099    0.5000   -1269.4746  0.5856 
   00100    0.5000   -1273.7923  0.5914 
   00101    0.4575   -1275.1691  0.5906 
   00102    0.5025   -1275.9827  0.5957 
   00103    0.4725   -1280.5939  0.5951 
   00104    0.4375   -1277.7285  0.5909 
   00105    0.4425   -1279.8723  0.5945 
   00106    0.4925   -1283.1211  0.5950 
   00107    0.4775   -1281.4201  0.5986 
   00108    0.4625   -1283.3528  0.5950 
   00109    0.4875   -1288.4326  0.5968 
   00110    0.4675   -1289.2860  0.6036 
   00111    0.4775   -1292.7314  0.6029 
   00112    0.4500   -1298.1531  0.6037 
   00113    0.4875   -1304.3802  0.6068 
   00114    0.5025   -1309.4144  0.6119 
   00115    0.4950   -1306.3221  0.6165 
   00116    0.4675   -1309.5641  0.6209 
   00117    0.4975   -1305.3200  0.6170 
   00118    0.4875   -1313.9640  0.6233 
   00119    0.4825   -1314.6858  0.6249 
   00120    0.4425   -1319.1452  0.6227 
   00121    0.4425   -1322.8540  0.6233 
   00122    0.4875   -1323.7482  0.6219 
   00123    0.5275   -1323.3609  0.6200 
   00124    0.4700   -1320.2093  0.6191 
   00125    0.5275   -1322.0753  0.6212 
   00126    0.4525   -1322.3321  0.6194 
   00127    0.4700   -1323.9807  0.6248 
   00128    0.4600   -1329.1795  0.6288 
   00129    0.4950   -1333.6756  0.6322 
   00130    0.4575   -1334.3247  0.6294 
   00131    0.4550   -1339.9396  0.6321 
   00132    0.4875   -1338.9371  0.6359 
   00133    0.5125   -1339.0204  0.6373 
   00134    0.4225   -1339.7098  0.6352 
   00135    0.4925   -1340.5306  0.6414 
   00136    0.4575   -1340.0489  0.6390 
   00137    0.5050   -1343.0073  0.6408 
   00138    0.4575   -1339.9326  0.6418 
   00139    0.4325   -1341.0862  0.6403 
   00140    0.5100   -1341.7155  0.6387 
   00141    0.4750   -1345.3931  0.6386 
   00142    0.4775   -1350.0230  0.6413 
   00143    0.4400   -1352.4825  0.6411 
   00144    0.4400   -1354.5351  0.6429 
   00145    0.4975   -1351.7421  0.6426 
   00146    0.5050   -1353.5584  0.6440 
   00147    0.4600   -1353.8305  0.6452 
   00148    0.4525   -1351.5169  0.6474 
   00149    0.5025   -1354.0872  0.6527 
   00150    0.4850   -1357.2651  0.6535 
   00151    0.4700   -1356.5500  0.6544 
   00152    0.4775   -1356.3760  0.6567 
   00153    0.4775   -1355.3550  0.6574 
   00154    0.4850   -1360.1042  0.6599 
   00155    0.4925   -1361.9117  0.6624 
   00156    0.4625   -1362.5257  0.6645 
   00157    0.4975   -1360.2416  0.6646 
   00158    0.4375   -1359.2296  0.6657 
   00159    0.4525   -1357.4457  0.6655 
   00160    0.4525   -1360.5608  0.6656 
   00161    0.4650   -1356.7506  0.6667 
   00162    0.5150   -1356.1894  0.6676 
   00163    0.4800   -1362.0169  0.6731 
   00164    0.4475   -1362.6651  0.6743 
   00165    0.4650   -1363.0618  0.6785 
   00166    0.5075   -1364.3005  0.6793 
   00167    0.4700   -1363.1638  0.6805 
   00168    0.4500   -1364.3285  0.6786 
   00169    0.4500   -1367.5081  0.6815 
   00170    0.4800   -1370.0657  0.6845 
   00171    0.4850   -1374.1061  0.6893 
   00172    0.4450   -1373.7986  0.6920 
   00173    0.5225   -1374.8568  0.6943 
   00174    0.4525   -1376.6198  0.6951 
   00175    0.4975   -1382.4660  0.6966 
   00176    0.4725   -1378.6985  0.6959 
   00177    0.4700   -1381.4001  0.6956 
   00178    0.4825   -1381.4873  0.6934 
   00179    0.4675   -1378.3830  0.6950 
   00180    0.4750   -1381.8594  0.6970 
   00181    0.4775   -1383.7760  0.6975 
   00182    0.4725   -1383.3522  0.6960 
   00183    0.4900   -1386.2329  0.6964 
   00184    0.4775   -1388.2506  0.6973 
   00185    0.4600   -1387.0392  0.7002 
   00186    0.4700   -1387.9283  0.7013 
   00187    0.4450   -1389.6438  0.7026 
   00188    0.4650   -1393.2418  0.7024 
   00189    0.4750   -1393.5235  0.7039 
   00190    0.4300   -1393.4995  0.7068 
   00191    0.4575   -1391.6352  0.7060 
   00192    0.4475   -1393.0017  0.7067 
   00193    0.4650   -1392.5259  0.7086 
   00194    0.4700   -1391.8205  0.7094 
   00195    0.4875   -1394.9217  0.7129 
   00196    0.4775   -1394.0156  0.7136 
   00197    0.4925   -1393.7813  0.7132 
   00198    0.4650   -1394.6285  0.7116 
   00199    0.4300   -1396.8654  0.7125 
   00200    0.4500   -1394.7828  0.7107 
   00201    0.4650   -1400.1052  0.7180 
   00202    0.4575   -1400.3125  0.7214 
   00203    0.4700   -1401.7155  0.7223 
   00204    0.4875   -1406.4067  0.7240 
   00205    0.4700   -1409.5559  0.7244 
   00206    0.5025   -1410.0181  0.7252 
   00207    0.4275   -1410.3505  0.7262 
   00208    0.4400   -1408.1708  0.7288 
   00209    0.4550   -1405.6777  0.7298 
   00210    0.4750   -1404.6764  0.7298 
   00211    0.4625   -1403.0581  0.7322 
   00212    0.4700   -1403.6318  0.7338 
   00213    0.4800   -1406.2864  0.7332 
   00214    0.4975   -1405.1140  0.7326 
   00215    0.4800   -1407.4569  0.7341 
   00216    0.4525   -1407.3545  0.7361 
   00217    0.4825   -1406.8810  0.7351 
   00218    0.4675   -1405.9213  0.7329 
   00219    0.4925   -1412.2672  0.7377 
