#=====================================================
# File created:        Tue-04-Nov-2025-at-11-52-29PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.150
# Run time (s):        0.734980
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -410.9831  0.2878 
   00001    0.6200    -513.1416  0.2937 
   00002    0.6450    -603.8544  0.2955 
   00003    0.6150    -691.4902  0.3029 
   00004    0.5975    -762.6691  0.3143 
   00005    0.6325    -833.2715  0.3083 
   00006    0.5800    -892.8628  0.3293 
   00007    0.5700    -941.8194  0.3435 
   00008    0.5800   -1003.0059  0.3470 
   00009    0.5775   -1041.7318  0.3583 
   00010    0.5675   -1075.0362  0.3638 
   00011    0.5450   -1109.9372  0.3745 
   00012    0.5525   -1139.5024  0.3756 
   00013    0.5350   -1162.2363  0.3893 
   00014    0.5325   -1174.1490  0.3898 
   00015    0.5150   -1204.8450  0.4053 
   00016    0.5700   -1228.8913  0.4000 
   00017    0.5275   -1246.1842  0.4041 
   00018    0.4825   -1258.4565  0.4036 
   00019    0.4850   -1270.0627  0.4108 
   00020    0.4825   -1281.7993  0.4154 
   00021    0.5000   -1295.1979  0.4229 
   00022    0.5250   -1302.2707  0.4262 
   00023    0.5425   -1315.3848  0.4397 
   00024    0.5400   -1330.7302  0.4491 
   00025    0.5175   -1343.3303  0.4620 
   00026    0.4925   -1356.4087  0.4718 
   00027    0.4825   -1357.3147  0.4797 
   00028    0.5000   -1365.1953  0.4814 
   00029    0.4975   -1374.3682  0.4856 
   00030    0.4975   -1382.8203  0.4887 
   00031    0.5250   -1389.6992  0.4996 
   00032    0.4725   -1396.6643  0.5038 
   00033    0.5000   -1400.0734  0.5152 
   00034    0.4925   -1403.6245  0.5220 
   00035    0.5300   -1402.9635  0.5293 
   00036    0.5275   -1411.4211  0.5412 
   00037    0.5150   -1420.4113  0.5530 
   00038    0.4950   -1421.9249  0.5569 
   00039    0.5350   -1425.1031  0.5579 
   00040    0.5175   -1422.6053  0.5621 
   00041    0.5000   -1421.6214  0.5667 
   00042    0.4525   -1419.2387  0.5620 
   00043    0.4675   -1419.6764  0.5774 
   00044    0.5100   -1424.9488  0.5863 
   00045    0.5250   -1427.9961  0.5958 
   00046    0.4700   -1431.9145  0.5905 
   00047    0.4850   -1440.8100  0.5982 
   00048    0.5250   -1443.8758  0.6000 
   00049    0.4700   -1450.5719  0.6024 
   00050    0.4550   -1452.5032  0.6078 
   00051    0.4775   -1454.8266  0.6102 
   00052    0.5075   -1458.5496  0.6138 
   00053    0.4750   -1459.1780  0.6164 
   00054    0.4575   -1457.8995  0.6175 
   00055    0.5125   -1449.2249  0.6156 
   00056    0.5275   -1453.8380  0.6250 
   00057    0.5025   -1454.4969  0.6224 
   00058    0.4650   -1462.3764  0.6315 
   00059    0.4225   -1460.8892  0.6309 
   00060    0.4975   -1460.7445  0.6348 
   00061    0.5325   -1466.5872  0.6356 
   00062    0.5150   -1467.2018  0.6427 
   00063    0.4975   -1464.7465  0.6424 
   00064    0.5325   -1465.9327  0.6552 
   00065    0.4625   -1466.2778  0.6586 
   00066    0.4675   -1470.5223  0.6607 
   00067    0.4850   -1462.4076  0.6613 
   00068    0.4550   -1464.1995  0.6579 
   00069    0.4975   -1467.9460  0.6728 
   00070    0.5100   -1468.4052  0.6796 
   00071    0.4775   -1469.6760  0.6816 
   00072    0.5000   -1473.3122  0.6850 
   00073    0.4550   -1476.2743  0.6815 
