#=====================================================
# File created:        Wed-05-Nov-2025-at-05-07-33AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.250
# Run time (s):        0.143479
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -427.4743  0.3100 
   00001    0.6725    -553.8351  0.3292 
   00002    0.6500    -663.3912  0.3446 
   00003    0.6075    -746.1065  0.3850 
   00004    0.5675    -829.2235  0.3915 
   00005    0.5600    -900.2229  0.4064 
   00006    0.5575    -949.2549  0.4200 
   00007    0.5825   -1010.0967  0.4333 
   00008    0.5975   -1048.3581  0.4460 
   00009    0.5700   -1083.4903  0.4644 
   00010    0.5275   -1110.2950  0.4777 
   00011    0.5600   -1148.4968  0.4991 
   00012    0.5300   -1192.6137  0.5257 
   00013    0.4825   -1213.1894  0.5298 
   00014    0.4675   -1224.0918  0.5383 
   00015    0.4625   -1242.2960  0.5390 
   00016    0.4975   -1262.1065  0.5559 
   00017    0.5700   -1273.1995  0.5715 
   00018    0.4425   -1287.8622  0.5875 
   00019    0.4550   -1311.5124  0.6042 
   00020    0.5025   -1319.5950  0.6115 
   00021    0.4675   -1338.4909  0.6239 
   00022    0.4800   -1338.4601  0.6357 
   00023    0.5100   -1343.2282  0.6468 
   00024    0.5050   -1344.5999  0.6574 
   00025    0.4575   -1355.2874  0.6825 
   00026    0.4800   -1373.4906  0.6952 
   00027    0.4600   -1379.8524  0.6980 
   00028    0.4725   -1378.4080  0.7043 
   00029    0.4725   -1386.4175  0.7163 
   00030    0.4625   -1395.0727  0.7243 
   00031    0.4525   -1401.1239  0.7386 
   00032    0.4775   -1408.1950  0.7547 
   00033    0.4925   -1415.9795  0.7646 
   00034    0.4775   -1416.4176  0.7689 
   00035    0.4975   -1418.1700  0.7756 
   00036    0.4800   -1428.6712  0.7705 
   00037    0.4475   -1423.7549  0.7681 
   00038    0.4800   -1432.5218  0.7640 
   00039    0.5050   -1432.7642  0.7722 
   00040    0.4350   -1438.4772  0.7714 
   00041    0.4175   -1439.7605  0.7716 
   00042    0.4575   -1440.1940  0.7756 
   00043    0.4675   -1435.5470  0.7837 
   00044    0.4300   -1437.9495  0.7937 
   00045    0.4425   -1435.0460  0.8067 
   00046    0.5025   -1440.5008  0.8025 
   00047    0.4550   -1439.4420  0.8026 
   00048    0.4525   -1441.5262  0.7999 
   00049    0.4450   -1438.5231  0.8012 
   00050    0.4700   -1446.9217  0.8116 
   00051    0.4375   -1451.5641  0.8159 
   00052    0.4950   -1455.4385  0.8192 
   00053    0.4475   -1454.0182  0.8185 
   00054    0.4425   -1448.2366  0.8232 
   00055    0.4575   -1440.7778  0.8132 
   00056    0.4875   -1437.9561  0.8177 
   00057    0.5175   -1448.8767  0.8264 
   00058    0.4675   -1450.5595  0.8244 
   00059    0.4500   -1449.1677  0.8225 
   00060    0.4825   -1454.6938  0.8268 
   00061    0.4550   -1457.9821  0.8223 
   00062    0.5175   -1462.4437  0.8251 
   00063    0.4775   -1465.3540  0.8260 
   00064    0.4400   -1460.5717  0.8188 
   00065    0.4525   -1456.6778  0.8261 
   00066    0.4600   -1457.2108  0.8269 
   00067    0.4550   -1454.5498  0.8295 
   00068    0.4875   -1463.7685  0.8313 
   00069    0.4350   -1469.2954  0.8311 
   00070    0.4600   -1462.2132  0.8283 
   00071    0.4075   -1458.7930  0.8278 
   00072    0.4650   -1448.9780  0.8224 
   00073    0.5175   -1446.4667  0.8074 
   00074    0.4800   -1451.4698  0.8062 
