#=====================================================
# File created:        Tue-04-Nov-2025-at-06-46-05AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.300
# Run time (s):        0.343029
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -428.4007  0.2593 
   00001    0.6625    -581.7152  0.2842 
   00002    0.6275    -693.5546  0.3434 
   00003    0.5975    -786.1787  0.3274 
   00004    0.5575    -859.2608  0.3152 
   00005    0.5625    -918.4911  0.2959 
   00006    0.5850    -996.6814  0.3205 
   00007    0.5250   -1054.7762  0.3104 
   00008    0.5700   -1083.5823  0.3002 
   00009    0.4550   -1121.6229  0.3360 
   00010    0.5150   -1152.1052  0.3201 
   00011    0.5000   -1165.6759  0.3287 
   00012    0.5175   -1178.3393  0.3220 
   00013    0.5000   -1190.2792  0.3174 
   00014    0.5050   -1211.8403  0.3244 
   00015    0.4975   -1221.2366  0.3162 
   00016    0.5175   -1238.7490  0.3123 
   00017    0.4700   -1250.5336  0.3229 
   00018    0.4900   -1261.4511  0.3339 
   00019    0.4975   -1280.0892  0.3553 
   00020    0.5175   -1293.0264  0.3676 
   00021    0.4600   -1293.4293  0.3825 
   00022    0.4850   -1300.1399  0.3706 
   00023    0.4725   -1292.4288  0.3875 
   00024    0.4425   -1309.4894  0.3897 
   00025    0.4700   -1304.0077  0.3922 
   00026    0.4575   -1302.4738  0.4122 
   00027    0.4800   -1308.9975  0.3934 
   00028    0.4750   -1313.1540  0.3867 
   00029    0.5100   -1327.4838  0.4132 
   00030    0.4775   -1332.2030  0.4213 
   00031    0.4800   -1325.1412  0.4369 
   00032    0.4975   -1321.3107  0.4382 
   00033    0.4550   -1327.4091  0.4433 
   00034    0.5025   -1345.2372  0.4414 
   00035    0.4800   -1350.8756  0.4239 
   00036    0.4875   -1356.8096  0.4190 
   00037    0.5075   -1350.7327  0.4401 
   00038    0.4650   -1351.3646  0.4499 
   00039    0.4750   -1346.4007  0.4397 
   00040    0.4775   -1350.5843  0.4502 
   00041    0.4800   -1354.5216  0.4287 
   00042    0.4725   -1344.7910  0.4424 
   00043    0.4325   -1345.8805  0.4538 
   00044    0.4325   -1336.3969  0.4269 
   00045    0.4925   -1349.6509  0.4471 
   00046    0.4575   -1348.4107  0.4382 
   00047    0.4675   -1356.6740  0.4702 
   00048    0.4700   -1364.1422  0.4470 
   00049    0.4450   -1363.9343  0.4546 
   00050    0.4875   -1360.6783  0.4788 
   00051    0.4725   -1374.8183  0.4905 
   00052    0.4775   -1375.4603  0.4862 
   00053    0.4350   -1364.5869  0.4536 
   00054    0.4750   -1356.8328  0.4769 
   00055    0.4625   -1363.9934  0.5223 
   00056    0.4700   -1373.5566  0.5220 
   00057    0.5125   -1371.4750  0.4967 
   00058    0.4075   -1374.2465  0.5290 
   00059    0.4600   -1373.9059  0.5253 
   00060    0.4975   -1375.0316  0.4741 
   00061    0.4275   -1362.6612  0.4671 
   00062    0.4800   -1368.8174  0.5294 
   00063    0.4650   -1369.5101  0.5154 
   00064    0.4925   -1372.8411  0.5558 
   00065    0.4500   -1370.0227  0.5478 
   00066    0.4450   -1363.5071  0.5411 
   00067    0.4200   -1377.7566  0.5467 
   00068    0.4500   -1386.2395  0.5703 
   00069    0.4100   -1388.5426  0.5460 
   00070    0.4075   -1392.1732  0.5437 
   00071    0.4450   -1393.1813  0.5489 
   00072    0.4925   -1401.3352  0.5399 
   00073    0.4550   -1398.3584  0.5350 
   00074    0.4375   -1402.6634  0.5622 
   00075    0.4450   -1395.2508  0.5622 
   00076    0.4700   -1390.3095  0.5869 
   00077    0.4800   -1387.4189  0.5949 
   00078    0.4450   -1388.8925  0.5883 
   00079    0.4525   -1382.5019  0.5926 
   00080    0.4375   -1388.6768  0.6063 
   00081    0.5100   -1395.1005  0.6094 
   00082    0.4500   -1387.1481  0.6189 
   00083    0.4675   -1391.0563  0.5894 
   00084    0.4525   -1391.4618  0.5532 
   00085    0.4425   -1392.0300  0.6227 
   00086    0.5175   -1403.0367  0.6038 
   00087    0.4475   -1407.1325  0.6351 
   00088    0.4050   -1418.6316  0.6205 
   00089    0.4900   -1415.2810  0.6125 
   00090    0.4225   -1420.9646  0.6094 
   00091    0.4525   -1430.3696  0.6238 
   00092    0.4575   -1431.3343  0.6406 
   00093    0.4250   -1432.5221  0.5857 
   00094    0.4300   -1428.6440  0.6480 
   00095    0.4425   -1434.2808  0.6651 
   00096    0.4475   -1436.9067  0.6229 
   00097    0.4550   -1436.6170  0.6673 
   00098    0.4350   -1429.8030  0.6639 
   00099    0.4275   -1411.6096  0.6195 
   00100    0.4500   -1416.4702  0.6593 
   00101    0.4425   -1406.9904  0.6531 
   00102    0.4500   -1414.1154  0.5991 
   00103    0.4750   -1411.1627  0.6705 
   00104    0.4575   -1429.7497  0.6723 
   00105    0.4550   -1422.2891  0.6574 
   00106    0.4900   -1419.6918  0.6843 
   00107    0.4725   -1426.7819  0.7014 
   00108    0.4300   -1428.1256  0.6606 
   00109    0.4325   -1428.7691  0.6803 
   00110    0.4825   -1418.6328  0.6877 
   00111    0.4225   -1414.6321  0.6553 
   00112    0.4475   -1421.7738  0.7101 
   00113    0.4475   -1421.1470  0.7136 
   00114    0.4375   -1427.4910  0.6530 
   00115    0.4375   -1420.9939  0.7176 
   00116    0.4400   -1426.7849  0.7056 
   00117    0.4325   -1428.3149  0.6827 
   00118    0.4475   -1436.1285  0.6986 
   00119    0.4550   -1438.8309  0.7145 
   00120    0.4425   -1440.3782  0.7138 
   00121    0.4450   -1446.3911  0.7110 
   00122    0.4775   -1441.6169  0.7264 
   00123    0.4825   -1437.9365  0.6928 
   00124    0.4250   -1436.3244  0.7028 
   00125    0.4650   -1418.7767  0.7111 
   00126    0.4225   -1411.9145  0.7044 
   00127    0.4725   -1412.3660  0.6823 
   00128    0.4700   -1425.6954  0.6683 
   00129    0.4400   -1427.7152  0.7066 
   00130    0.4500   -1430.0461  0.6905 
   00131    0.4625   -1419.0716  0.6898 
   00132    0.4425   -1426.9087  0.7025 
   00133    0.4475   -1436.8098  0.6978 
   00134    0.4000   -1423.0492  0.6857 
   00135    0.4350   -1424.1041  0.6777 
   00136    0.4325   -1424.9317  0.6739 
   00137    0.4425   -1432.9508  0.7294 
   00138    0.4650   -1433.4260  0.7366 
   00139    0.4625   -1429.3945  0.7253 
   00140    0.4375   -1432.4300  0.7376 
   00141    0.4600   -1442.1946  0.7328 
   00142    0.4500   -1443.1935  0.7076 
   00143    0.4900   -1445.9090  0.7396 
   00144    0.4500   -1454.2500  0.7497 
   00145    0.4375   -1454.7228  0.7275 
   00146    0.4350   -1457.0781  0.7495 
   00147    0.4800   -1455.1334  0.7367 
   00148    0.4300   -1455.2473  0.7448 
   00149    0.4625   -1451.9644  0.7554 
   00150    0.3800   -1452.8508  0.7565 
   00151    0.4350   -1449.0178  0.7463 
   00152    0.3825   -1445.5475  0.7318 
   00153    0.4725   -1449.3864  0.7168 
   00154    0.4325   -1441.8082  0.7094 
   00155    0.4325   -1436.7850  0.7280 
   00156    0.4825   -1442.3954  0.7276 
   00157    0.4425   -1454.2755  0.7526 
   00158    0.4450   -1449.1913  0.7122 
   00159    0.4300   -1449.5769  0.7496 
   00160    0.4225   -1447.2241  0.7376 
   00161    0.4600   -1448.6512  0.7682 
   00162    0.4350   -1444.8164  0.7364 
   00163    0.4225   -1441.4877  0.7706 
   00164    0.4550   -1448.2728  0.7751 
   00165    0.4475   -1450.4012  0.7754 
   00166    0.4025   -1451.0386  0.7751 
   00167    0.4575   -1450.4714  0.7862 
   00168    0.4475   -1448.4947  0.7302 
   00169    0.4375   -1447.7428  0.7676 
   00170    0.4150   -1448.8818  0.7879 
   00171    0.4400   -1439.9900  0.7886 
   00172    0.4600   -1439.6203  0.7889 
   00173    0.3975   -1431.0374  0.7811 
   00174    0.4600   -1439.1085  0.7868 
   00175    0.4675   -1447.8613  0.7981 
   00176    0.4300   -1441.3714  0.8123 
   00177    0.4350   -1451.1196  0.7695 
   00178    0.4375   -1444.3417  0.8229 
   00179    0.4100   -1444.6704  0.8258 
   00180    0.4125   -1432.2511  0.7833 
   00181    0.4450   -1438.5496  0.8120 
   00182    0.4350   -1447.0004  0.8262 
