#=====================================================
# File created:        Mon-03-Nov-2025-at-01-41-55AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.600
# Run time (s):        7.538162
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -408.5706  0.2703 
   00001    0.6775    -630.7260  0.2977 
   00002    0.5800    -760.2410  0.3151 
   00003    0.6000    -839.9763  0.3074 
   00004    0.5625    -871.5146  0.3454 
   00005    0.5175    -932.3228  0.3467 
   00006    0.5050    -986.3796  0.3683 
   00007    0.5450   -1001.2687  0.3805 
   00008    0.4875   -1013.4985  0.4013 
   00009    0.4725   -1043.5431  0.4001 
   00010    0.4000   -1075.4993  0.3994 
   00011    0.4675   -1089.9434  0.4242 
   00012    0.4700   -1107.8324  0.4416 
   00013    0.4075   -1095.6859  0.4662 
   00014    0.4650   -1135.5170  0.4464 
   00015    0.4600   -1152.0814  0.4317 
   00016    0.4125   -1167.7814  0.4411 
   00017    0.4725   -1160.9510  0.4485 
   00018    0.4450   -1180.2599  0.4698 
   00019    0.4750   -1194.2305  0.4653 
   00020    0.4250   -1200.0811  0.4816 
   00021    0.4100   -1221.1077  0.4826 
   00022    0.4350   -1215.4976  0.4825 
   00023    0.4500   -1214.6407  0.4693 
   00024    0.4725   -1213.4680  0.4608 
   00025    0.4400   -1220.0728  0.4551 
   00026    0.4275   -1210.5356  0.4353 
   00027    0.4000   -1215.4483  0.4364 
   00028    0.4200   -1239.1778  0.4299 
   00029    0.3950   -1245.1248  0.4362 
   00030    0.4250   -1246.1112  0.4368 
   00031    0.4100   -1225.0594  0.4348 
   00032    0.3900   -1204.1900  0.4249 
   00033    0.4075   -1213.3744  0.4427 
   00034    0.4100   -1230.9689  0.4329 
   00035    0.4050   -1227.6238  0.4299 
   00036    0.4525   -1212.6222  0.4174 
   00037    0.4125   -1173.3134  0.4189 
   00038    0.4525   -1187.6452  0.4033 
   00039    0.3775   -1204.5058  0.4150 
   00040    0.4350   -1210.4125  0.4118 
   00041    0.4450   -1222.3291  0.4276 
   00042    0.4650   -1219.9536  0.4462 
   00043    0.4225   -1210.2948  0.4474 
   00044    0.4325   -1233.3524  0.4681 
   00045    0.4125   -1245.7189  0.4789 
   00046    0.3925   -1239.1495  0.4944 
   00047    0.4150   -1235.1803  0.5025 
   00048    0.4225   -1234.6626  0.5056 
   00049    0.4400   -1228.8318  0.5092 
   00050    0.4075   -1242.5907  0.5009 
   00051    0.4100   -1231.2448  0.5175 
   00052    0.4225   -1231.8943  0.5396 
   00053    0.4200   -1231.9986  0.5426 
   00054    0.4300   -1217.4255  0.5405 
   00055    0.4200   -1218.5906  0.5311 
   00056    0.4450   -1228.5734  0.5242 
   00057    0.4075   -1269.0857  0.5282 
   00058    0.4050   -1273.1713  0.5172 
   00059    0.3850   -1277.5683  0.5387 
   00060    0.4100   -1288.6533  0.5489 
   00061    0.4000   -1282.8142  0.5448 
   00062    0.4175   -1288.9051  0.5312 
   00063    0.4450   -1265.7650  0.5380 
   00064    0.4425   -1259.4498  0.5408 
   00065    0.4475   -1262.1197  0.5576 
   00066    0.4150   -1248.6979  0.5716 
   00067    0.4275   -1265.7012  0.5691 
   00068    0.4100   -1241.2801  0.5407 
   00069    0.3950   -1229.9419  0.5447 
   00070    0.4375   -1241.1219  0.5633 
   00071    0.4450   -1223.5391  0.5722 
   00072    0.3900   -1225.8601  0.5891 
   00073    0.4500   -1191.0241  0.5716 
   00074    0.4725   -1227.3629  0.5755 
   00075    0.4400   -1239.0267  0.5942 
   00076    0.4225   -1235.1317  0.5904 
   00077    0.3725   -1237.1568  0.5979 
   00078    0.4200   -1242.6601  0.6157 
   00079    0.4200   -1242.2047  0.6159 
   00080    0.4225   -1238.8016  0.6139 
   00081    0.4325   -1247.1725  0.6151 
   00082    0.4400   -1272.9037  0.6413 
   00083    0.3950   -1282.1940  0.6560 
   00084    0.4100   -1272.3623  0.6560 
   00085    0.3875   -1266.0908  0.6641 
   00086    0.4025   -1281.2679  0.6503 
   00087    0.3825   -1280.9491  0.6609 
   00088    0.4225   -1285.1774  0.6586 
   00089    0.4125   -1300.5657  0.6566 
   00090    0.3800   -1302.1898  0.6654 
   00091    0.3825   -1297.8335  0.6744 
   00092    0.4150   -1282.5451  0.6707 
   00093    0.4175   -1272.5087  0.6520 
   00094    0.4250   -1282.3514  0.6728 
