#=====================================================
# File created:        Sun-02-Nov-2025-at-11-22-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.930874
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2477.3972  0.2553 
   00001    0.6716   -3685.4747  0.2573 
   00002    0.6328   -4474.4122  0.2567 
   00003    0.5952   -5067.2294  0.2518 
   00004    0.5512   -5451.0734  0.2643 
   00005    0.5388   -5796.9158  0.2599 
   00006    0.5156   -6067.6534  0.2661 
   00007    0.5112   -6270.7837  0.2687 
   00008    0.5048   -6456.6295  0.2796 
   00009    0.4948   -6647.8623  0.2796 
   00010    0.4752   -6773.6773  0.2817 
   00011    0.4636   -6945.1258  0.2931 
   00012    0.4744   -7082.0761  0.2972 
   00013    0.4784   -7164.5284  0.2932 
   00014    0.4672   -7276.9601  0.3047 
   00015    0.4620   -7350.2552  0.3130 
   00016    0.4744   -7460.5740  0.3099 
   00017    0.4556   -7517.4582  0.3105 
   00018    0.4484   -7561.8451  0.3163 
   00019    0.4512   -7624.0497  0.3211 
   00020    0.4360   -7666.6095  0.3189 
   00021    0.4288   -7734.4602  0.3185 
   00022    0.4392   -7828.7853  0.3176 
   00023    0.4448   -7806.9945  0.3152 
   00024    0.4428   -7821.0117  0.3092 
   00025    0.4332   -7865.4935  0.3097 
   00026    0.4452   -7890.6789  0.3180 
   00027    0.4476   -7880.6027  0.3249 
   00028    0.4664   -7833.6692  0.3219 
   00029    0.4460   -7900.1767  0.3288 
   00030    0.4368   -7947.9117  0.3307 
   00031    0.4448   -7959.6593  0.3338 
   00032    0.4440   -7889.1933  0.3348 
   00033    0.4252   -7874.2829  0.3348 
   00034    0.4288   -7939.4554  0.3321 
   00035    0.4504   -7949.8650  0.3370 
   00036    0.4328   -7931.3736  0.3345 
   00037    0.4492   -7910.7999  0.3372 
   00038    0.4408   -7953.4915  0.3422 
   00039    0.4448   -7988.6703  0.3443 
   00040    0.4468   -8065.5574  0.3528 
   00041    0.4360   -8101.9654  0.3504 
   00042    0.4080   -8125.5118  0.3475 
   00043    0.4288   -8145.2954  0.3550 
   00044    0.4360   -8117.6054  0.3470 
   00045    0.4176   -8155.1816  0.3466 
   00046    0.4136   -8157.8330  0.3503 
   00047    0.4264   -8194.5656  0.3534 
   00048    0.4376   -8165.1320  0.3618 
   00049    0.4112   -8163.3821  0.3630 
   00050    0.4272   -8159.2982  0.3607 
