#=====================================================
# File created:        Mon-03-Nov-2025-at-01-42-33AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.850
# Run time (s):        7.563310
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -431.6393  0.2695 
   00001    0.6825    -612.9939  0.2950 
   00002    0.6175    -695.1871  0.2847 
   00003    0.5600    -762.4332  0.3255 
   00004    0.5500    -823.3006  0.3487 
   00005    0.5325    -864.3534  0.3318 
   00006    0.4975    -900.8268  0.3252 
   00007    0.4450    -923.5593  0.3671 
   00008    0.5375    -937.1614  0.3706 
   00009    0.4675    -928.2350  0.3707 
   00010    0.5275    -928.7046  0.3600 
   00011    0.5250    -927.8485  0.3367 
   00012    0.5025    -933.3354  0.3438 
   00013    0.5150    -958.0342  0.3477 
   00014    0.4825    -988.8486  0.3627 
   00015    0.4725    -978.5716  0.3768 
   00016    0.5300   -1014.0314  0.3737 
   00017    0.4550   -1013.4848  0.3900 
   00018    0.4900   -1020.3111  0.4237 
   00019    0.4450   -1021.8062  0.4465 
   00020    0.4675    -970.7699  0.4246 
   00021    0.4675    -955.3174  0.3972 
   00022    0.4975    -979.9968  0.3910 
   00023    0.4475    -986.0093  0.3495 
   00024    0.4825    -981.4842  0.3473 
   00025    0.4700   -1017.9877  0.3504 
   00026    0.5100   -1018.3093  0.3466 
   00027    0.4925    -987.7460  0.3804 
   00028    0.4300    -966.4449  0.3954 
   00029    0.4900    -996.8505  0.4262 
   00030    0.4550   -1003.3991  0.4168 
   00031    0.4725   -1045.1990  0.4236 
   00032    0.4500   -1058.9648  0.4224 
   00033    0.4600   -1052.1012  0.4224 
   00034    0.5075   -1044.3229  0.4074 
   00035    0.4625   -1044.3051  0.4305 
   00036    0.4350   -1049.4888  0.3917 
   00037    0.4675   -1050.2384  0.3675 
   00038    0.4700   -1045.4896  0.3481 
   00039    0.4750    -990.6871  0.3356 
   00040    0.4900   -1006.9885  0.3440 
   00041    0.4725    -992.3628  0.3056 
   00042    0.4500    -972.9339  0.3164 
   00043    0.4850    -990.1752  0.3211 
   00044    0.4450   -1020.1171  0.3353 
   00045    0.4900   -1034.4322  0.3742 
   00046    0.4550   -1057.8586  0.3771 
   00047    0.4250   -1041.9653  0.3808 
   00048    0.4475   -1066.9759  0.3937 
   00049    0.4550   -1081.3492  0.3923 
   00050    0.4300   -1056.0340  0.3708 
   00051    0.4500   -1061.6692  0.3445 
   00052    0.4200   -1060.5856  0.3654 
   00053    0.4825   -1059.2701  0.3677 
   00054    0.4900   -1040.2161  0.3842 
   00055    0.4425   -1037.5362  0.4367 
   00056    0.4600   -1042.5060  0.4573 
   00057    0.4650   -1048.6188  0.4646 
   00058    0.5025   -1073.1956  0.4699 
   00059    0.4075   -1073.2430  0.4491 
   00060    0.4700   -1060.3598  0.4715 
   00061    0.4275   -1072.6433  0.4866 
   00062    0.4675   -1052.1661  0.4749 
   00063    0.4625   -1076.0544  0.4865 
   00064    0.4325   -1044.1774  0.5059 
   00065    0.4225   -1052.9613  0.5124 
   00066    0.4525   -1100.5211  0.5369 
   00067    0.4150   -1095.1178  0.5212 
   00068    0.4125   -1111.0162  0.5334 
   00069    0.4075   -1090.5033  0.5486 
   00070    0.4650   -1084.3443  0.5380 
   00071    0.4700   -1039.5598  0.5191 
   00072    0.4625   -1052.0983  0.5247 
   00073    0.4375   -1063.1660  0.5272 
   00074    0.4450   -1055.3954  0.4963 
   00075    0.4950   -1059.1995  0.5048 
   00076    0.4575   -1075.2670  0.5256 
   00077    0.4700   -1076.8475  0.5455 
   00078    0.4550   -1100.1852  0.5455 
   00079    0.4950   -1084.2625  0.5098 
   00080    0.4175   -1095.6019  0.5246 
   00081    0.4475   -1096.3065  0.5411 
   00082    0.4425   -1135.0729  0.5230 
   00083    0.4025   -1121.9568  0.5226 
   00084    0.4225   -1103.9106  0.5080 
   00085    0.4125   -1126.6748  0.5058 
   00086    0.4000   -1103.5058  0.4911 
   00087    0.4400   -1119.6501  0.5004 
   00088    0.4400   -1110.6528  0.4885 
   00089    0.4200   -1101.7900  0.4757 
   00090    0.4525   -1068.7417  0.4652 
   00091    0.4575   -1091.4450  0.4481 
   00092    0.4575   -1089.3497  0.4072 
   00093    0.4800   -1057.7570  0.3777 
   00094    0.5025   -1036.9854  0.4091 
   00095    0.4425   -1061.3087  0.4269 
   00096    0.4575   -1045.9516  0.4231 
   00097    0.4625   -1084.7072  0.4292 
   00098    0.4400   -1074.8113  0.4102 
   00099    0.4550   -1077.5226  0.4279 
   00100    0.4550   -1081.8862  0.4173 
   00101    0.4775   -1077.0817  0.4062 
   00102    0.4525   -1085.9124  0.4037 
   00103    0.4175   -1076.3111  0.4118 
   00104    0.4250   -1076.9653  0.4381 
   00105    0.4175   -1063.6373  0.4626 
   00106    0.5000   -1095.6662  0.4617 
   00107    0.4575   -1087.0887  0.4552 
   00108    0.4300   -1084.4269  0.4423 
   00109    0.4175   -1081.9764  0.4343 
   00110    0.4550   -1084.6334  0.4470 
   00111    0.4325   -1058.7591  0.4747 
   00112    0.4450   -1066.8583  0.5183 
   00113    0.4800   -1086.8038  0.5263 
   00114    0.4600   -1090.9692  0.5084 
   00115    0.4500   -1072.1984  0.5199 
   00116    0.4775   -1042.5398  0.4992 
   00117    0.4375   -1072.5938  0.5314 
   00118    0.4475   -1056.1763  0.5460 
   00119    0.4550   -1033.7433  0.5556 
   00120    0.4600   -1073.4987  0.5663 
   00121    0.4425   -1086.3018  0.5653 
   00122    0.4600   -1066.7904  0.5591 
   00123    0.4525   -1066.8769  0.5591 
   00124    0.4400   -1040.7613  0.5666 
   00125    0.4225   -1038.0324  0.5891 
   00126    0.4725   -1034.2103  0.5807 
   00127    0.4600   -1094.8947  0.6070 
   00128    0.4425   -1065.0195  0.5952 
   00129    0.4225   -1026.9428  0.5725 
   00130    0.4075   -1025.2295  0.5771 
   00131    0.4600   -1026.6556  0.5944 
   00132    0.4575   -1031.2222  0.5989 
   00133    0.4300   -1024.2886  0.6037 
   00134    0.4200   -1011.0330  0.5712 
   00135    0.4800   -1028.0685  0.5600 
   00136    0.4725   -1053.2406  0.5647 
   00137    0.4700   -1066.0358  0.5429 
   00138    0.4575   -1060.3033  0.5640 
   00139    0.4450   -1065.5937  0.5668 
   00140    0.4300   -1080.0025  0.5703 
   00141    0.4875   -1074.1805  0.5969 
   00142    0.4550   -1082.7595  0.5979 
   00143    0.4475   -1110.3041  0.6037 
   00144    0.3925   -1131.0055  0.6008 
   00145    0.4700   -1097.8457  0.5782 
   00146    0.4450   -1097.0845  0.5630 
   00147    0.4425   -1071.7636  0.5586 
   00148    0.4700   -1059.6398  0.5530 
   00149    0.4500   -1079.2739  0.5472 
   00150    0.4300   -1049.7304  0.5242 
