#=====================================================
# File created:        Wed-05-Nov-2025-at-06-07-05AM
# Size of lattice:     160x160
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        34.578286
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -25670.1440  0.2541 
   00001    0.6795  -38186.9715  0.2521 
   00002    0.6272  -46368.4411  0.2528 
   00003    0.5861  -52289.4201  0.2504 
   00004    0.5540  -56633.6223  0.2503 
   00005    0.5370  -60220.6094  0.2527 
   00006    0.5213  -62833.1380  0.2529 
   00007    0.5077  -65397.4216  0.2538 
   00008    0.4984  -67425.3742  0.2549 
   00009    0.4872  -68900.2479  0.2534 
   00010    0.4817  -70396.4449  0.2509 
   00011    0.4803  -71681.6915  0.2538 
   00012    0.4763  -72743.6010  0.2539 
   00013    0.4685  -73585.9763  0.2540 
   00014    0.4598  -74599.6778  0.2532 
   00015    0.4606  -75235.7285  0.2519 
   00016    0.4587  -75967.9815  0.2512 
   00017    0.4520  -76390.6657  0.2508 
   00018    0.4532  -76863.9907  0.2519 
   00019    0.4439  -77301.1569  0.2546 
   00020    0.4451  -77792.4299  0.2551 
   00021    0.4470  -78147.9100  0.2555 
   00022    0.4463  -78535.1087  0.2558 
   00023    0.4373  -78995.4002  0.2574 
   00024    0.4411  -79151.5882  0.2580 
   00025    0.4393  -79443.0691  0.2572 
   00026    0.4326  -79752.6874  0.2553 
   00027    0.4358  -80088.7827  0.2564 
   00028    0.4419  -80304.1210  0.2577 
   00029    0.4316  -80531.2982  0.2603 
   00030    0.4352  -80640.3360  0.2586 
   00031    0.4316  -80850.2937  0.2596 
   00032    0.4305  -80780.5839  0.2617 
   00033    0.4309  -81037.4696  0.2607 
   00034    0.4384  -81059.9906  0.2605 
   00035    0.4340  -81285.7468  0.2603 
   00036    0.4334  -81417.3017  0.2612 
   00037    0.4310  -81639.3697  0.2600 
   00038    0.4395  -81967.0115  0.2619 
   00039    0.4298  -81980.4589  0.2619 
   00040    0.4290  -82043.7560  0.2623 
   00041    0.4264  -82244.8007  0.2634 
   00042    0.4334  -82400.8953  0.2641 
   00043    0.4252  -82463.8991  0.2646 
   00044    0.4287  -82617.2267  0.2629 
   00045    0.4232  -82897.0366  0.2643 
   00046    0.4247  -83025.9901  0.2671 
   00047    0.4282  -83188.4226  0.2674 
   00048    0.4216  -83159.7133  0.2668 
   00049    0.4208  -83313.2432  0.2640 
   00050    0.4218  -83274.1623  0.2664 
   00051    0.4300  -83357.3718  0.2669 
   00052    0.4261  -83285.3609  0.2677 
   00053    0.4255  -83505.4448  0.2686 
   00054    0.4238  -83585.7942  0.2683 
   00055    0.4254  -83551.3558  0.2709 
   00056    0.4208  -83724.9471  0.2698 
   00057    0.4252  -83797.8066  0.2704 
   00058    0.4195  -83850.7757  0.2702 
   00059    0.4276  -83712.2172  0.2690 
   00060    0.4248  -83880.9301  0.2703 
   00061    0.4218  -83760.8809  0.2709 
   00062    0.4239  -83776.2038  0.2704 
   00063    0.4294  -83901.5648  0.2679 
   00064    0.4246  -83990.6139  0.2687 
   00065    0.4220  -83912.5615  0.2688 
   00066    0.4239  -83918.2399  0.2703 
   00067    0.4233  -84085.3566  0.2730 
   00068    0.4228  -84183.6153  0.2717 
   00069    0.4213  -84307.9378  0.2719 
   00070    0.4259  -84296.4738  0.2716 
   00071    0.4246  -84356.7977  0.2708 
   00072    0.4208  -84391.3366  0.2724 
   00073    0.4210  -84290.0838  0.2721 
   00074    0.4141  -84291.0252  0.2725 
   00075    0.4181  -84362.1845  0.2719 
   00076    0.4213  -84384.9177  0.2733 
   00077    0.4250  -84505.7905  0.2733 
   00078    0.4271  -84438.4625  0.2728 
   00079    0.4181  -84533.7568  0.2735 
   00080    0.4271  -84598.8102  0.2723 
   00081    0.4192  -84544.1131  0.2728 
   00082    0.4225  -84674.2000  0.2722 
   00083    0.4222  -84615.0306  0.2722 
   00084    0.4203  -84699.4640  0.2723 
   00085    0.4168  -84846.2921  0.2715 
   00086    0.4201  -84888.2730  0.2717 
   00087    0.4179  -84934.9888  0.2710 
   00088    0.4225  -84842.9614  0.2718 
   00089    0.4161  -84979.1986  0.2724 
   00090    0.4197  -84852.6175  0.2730 
   00091    0.4221  -84906.6156  0.2719 
   00092    0.4196  -84796.9148  0.2714 
   00093    0.4188  -84907.7957  0.2714 
   00094    0.4165  -84860.6916  0.2714 
   00095    0.4215  -84889.8946  0.2720 
   00096    0.4227  -84937.1166  0.2724 
   00097    0.4182  -84734.3069  0.2704 
   00098    0.4237  -84881.5397  0.2699 
   00099    0.4204  -84823.3008  0.2694 
   00100    0.4192  -84843.6951  0.2683 
